epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.72646,0.5605636685943604,0.75355,0.5108387188911439
2,0.8182,0.4263154114818573,0.8241,0.3970955813884735
3,0.85353,0.36139481593370437,0.87355,0.3198053905725479
4,0.87087,0.325216408867836,0.87935,0.31422357186079025
5,0.88266,0.2986779701757431,0.87645,0.32105321269631387
6,0.89613,0.261112024371624,0.89405,0.24823968037068844
7,0.90534,0.24290557752251626,0.91175,0.22138478740751744
8,0.91302,0.22680221878170967,0.89945,0.24816195589303972
9,0.91792,0.2164013234245777,0.8986,0.2351532654941082
10,0.92121,0.2066744108325243,0.913,0.22849511889070273
